SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
100001,5896630,Closed,currency 1,-857,0,-492,-553,0,0,112500,0,0,0,Consumer credit,-155,0
100001,5896631,Closed,currency 1,-909,0,-179,-877,0,0,279720,0,0,0,Consumer credit,-155,0
100001,5896632,Closed,currency 1,-879,0,-514,-544,0,0,91620,0,0,0,Consumer credit,-155,0
100001,5896633,Closed,currency 1,-1572,0,-1329,-1328,0,0,85500,0,0,0,Consumer credit,-155,0
100001,5896634,Active,currency 1,-559,0,902,-1328,0,0,337680,113166,0,0,Consumer credit,-6,4630.5
100001,5896635,Active,currency 1,-49,0,1778,-1328,0,0,378000,373239,0,0,Consumer credit,-16,10822.5
100001,5896636,Active,currency 1,-320,0,411,-1328,0,0,168345,110281.5,0,0,Consumer credit,-10,9364.5
100002,6158904,Closed,currency 1,-1125,0,-1038,-1038,0,0,40761,110281.5,0,0,Credit card,-1038,0
100002,6158905,Closed,currency 1,-476,0,-1038,-48,0,0,0,0,0,0,Credit card,-47,0
100002,6158906,Closed,currency 1,-1437,0,-1072,-1185,0,0,135000,0,0,0,Consumer credit,-1185,0
100002,6158907,Closed,currency 1,-1121,0,-911,-911,3321,0,19071,0,0,0,Consumer credit,-906,0
100002,6158908,Closed,currency 1,-645,0,85,-36,5043.645,0,120735,0,0,0,Consumer credit,-34,0
100002,6158909,Active,currency 1,-103,0,85,-36,40.5,0,31988.565,0,31988.565,0,Credit card,-24,0
100003,5885877,Closed,currency 1,-2586,0,-2434,-2131,0,0,22248,0,0,0,Consumer credit,-2131,0
100003,5885878,Closed,currency 1,-1636,0,-540,-540,0,0,112500,0,0,0,Credit card,-540,0
100003,5885879,Closed,currency 1,-775,0,-420,-621,0,0,72652.5,0,0,0,Consumer credit,-550,0
100003,5885880,Active,currency 1,-606,0,1216,-621,0,0,810000,0,810000,0,Credit card,-43,0
100004,6829133,Closed,currency 1,-1326,0,-595,-683,0,0,94500,0,0,0,Consumer credit,-682,0
100004,6829134,Closed,currency 1,-408,0,-382,-382,0,0,94537.8,0,0,0,Consumer credit,-382,0
100008,6491433,Closed,currency 1,-1097,0,-853,-1028,0,0,105705,0,0,0,Consumer credit,-1027,0
100008,6491434,Active,currency 1,-78,0,471,-1028,0,0,267606,240057,0,0,Consumer credit,-16,0
100009,5651008,Closed,currency 1,-1259,0,-1080,-986,0,0,114799.5,240057,0,0,Consumer credit,-983,0
100011,5741082,Closed,currency 1,-2508,0,-2173,-2197,10147.23,0,90744.3,0,0,0,Consumer credit,-2172,0
100011,5741083,Closed,currency 1,-1960,0,-860,-1618,0,0,54000,0,0,0,Credit card,-1618,0
100011,5741084,Closed,currency 1,-1309,0,-1070,-1070,0,0,145242,0,0,0,Consumer credit,-1064,0
100011,5741085,Closed,currency 1,-1315,0,-1070,-968,0,0,145242,0,0,0,Consumer credit,-965,0
100013,5922083,Closed,currency 1,-2005,0,-909,-1334,19305,0,688500,0,0,0,Car loan,-1334,0
100015,5473348,Closed,currency 1,-1031,0,-666,-666,19305,0,94320,0,0,0,Consumer credit,-660,0
100015,5473349,Closed,currency 1,-1409,0,-1045,-907,19305,0,131103,0,0,0,Consumer credit,-904,0
100015,5473350,Closed,currency 1,-1032,0,-666,-641,19305,0,94320,0,0,0,Consumer credit,-638,0
100015,5473351,Closed,currency 1,-319,0,-16,-8,19305,0,89752.5,0,0,0,Consumer credit,-3,0
100016,5217355,Active,currency 1,-141,0,223,-8,19305,0,88996.5,63724.5,0,0,Consumer credit,-8,0
100016,5217356,Closed,currency 1,-1634,0,-1331,-1073,19305,0,58495.5,0,0,0,Consumer credit,-1073,0
100016,5217357,Active,currency 1,-128,0,236,-1073,19305,0,91264.5,0,0,0,Consumer credit,-3,0
100016,5217358,Active,currency 1,-142,0,223,-1073,19305,0,88996.5,0,0,0,Consumer credit,-3,0
100016,5217359,Closed,currency 1,-1494,0,-1369,-1369,0,0,22086,0,0,0,Consumer credit,-1367,0
100016,5217360,Closed,currency 1,-528,0,-347,-347,0,0,57645,0,0,0,Consumer credit,-341,0
100017,5704884,Closed,currency 1,-2881,0,-2546,-2575,0,0,107230.5,0,0,0,Consumer credit,-2575,0
100017,5704885,Closed,currency 1,-2562,0,-2227,-2256,0,0,63990,0,0,0,Consumer credit,-2256,0
100017,5704886,Closed,currency 1,-2151,0,-1785,-1785,0,0,225000,0,0,0,Consumer credit,-1412,0
100017,5704887,Closed,currency 1,-1750,0,-1439,-1439,0,0,123318,0,0,0,Consumer credit,-1434,0
100017,5704888,Closed,currency 1,-1413,0,-1274,-1274,0,0,25231.5,0,0,0,Consumer credit,-1266,0
100017,5704889,Closed,currency 1,-909,0,197,-738,0,0,315000,0,0,0,Credit card,-623,0
100019,5832095,Active,currency 1,-495,0,10463,-738,0,0,270000,0,270000,0,Credit card,-46,27000
