SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1375058,100662,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,0,0
1727561,100218,-4,748180.935,720000,0,21073.905,0,21073.905,36990.45,45000,45000,719928.675,741427.74,741427.74,0,8,0,8,8,Active,0,0
2241207,100722,-1,0,0,0,0,0,0,0,806.085,0,0,0,0,0,0,0,0,7,Active,0,0
1944493,101111,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Completed,0,0
1060558,100048,-2,27302.4,225000,27000,27000,0,0,0,1458.27,1458.27,25541.73,25956.9,25956.9,1,1,0,0,17,Active,0,0
2234740,100169,-7,0,405000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Active,0,0
1880847,100135,-5,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Active,0,0
2343848,100754,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Completed,0,0
1787234,100059,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Completed,0,0
2241207,100722,-80,128740.455,135000,0,0,0,0,6750,13500,13500,123781.275,128740.455,128740.455,0,0,0,0,3,Active,0,0
1944493,101111,-42,0,0,0,0,0,0,0,164.43,0,0,0,0,0,0,0,0,3,Active,0,0
