SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2547775,100676,-41,24,12,Active,0,0
2687776,100457,-16,24,23,Active,0,0
1653280,100442,-37,24,14,Active,0,0
1474042,101037,-38,48,40,Active,0,0
1364429,100525,-24,12,0,Completed,0,0
2092772,100536,-41,24,12,Active,0,0
1771190,100292,-46,23,0,Completed,0,0
1309253,100165,-44,12,2,Active,0,0
1080126,100879,-44,12,3,Active,0,0
2001170,100421,-40,12,4,Active,0,0
2505263,100950,-40,12,5,Active,0,0
1159714,100624,-34,24,2,Active,0,0
1374221,100217,-37,12,3,Active,0,0
2426800,100047,-40,24,2,Active,0,0
1159714,100624,-41,24,9,Active,0,0
2118972,100639,-56,11,11,Active,0,0
1062042,100191,-9,30,25,Active,0,0
2079853,100324,-6,24,19,Active,0,0
1883127,100867,-5,6,4,Active,0,0
1674812,101136,-3,6,3,Active,0,0
1982422,100591,-12,24,22,Active,0,0
2813537,100105,-40,10,6,Active,0,0
1711086,100169,-4,48,37,Active,0,0
1062042,100191,-3,30,19,Active,0,0
1711086,100169,-12,48,46,Active,0,0
1206441,100139,-23,6,3,Active,0,0
1367556,100685,-4,30,11,Active,0,0
1973272,101032,-3,54,31,Active,0,0
2584916,100280,-18,36,33,Active,0,0
2586657,100472,-74,10,0,Active,0,0
2138999,100681,-95,8,8,Active,0,0
2717346,100675,-12,60,59,Active,0,0
2345130,100347,-16,24,24,Active,0,0
2036115,101081,-4,24,0,Active,0,0
2307166,100617,-23,14,12,Active,0,0
2036115,101081,-17,36,26,Active,0,0
1877709,100558,-5,48,48,Active,0,0
2078276,100825,-38,12,1,Active,0,0
1673266,101026,-13,24,12,Active,0,0
1822697,101134,-15,24,15,Active,0,0
2345130,100347,-9,24,17,Active,0,0
1042916,100132,-12,6,0,Completed,0,0
2438959,100152,-10,42,30,Active,0,0
2219948,100786,-20,42,37,Active,0,0
2033576,100144,-12,18,0,Completed,0,0
2648873,100325,-6,24,8,Active,0,0
2708050,100111,-33,10,10,Signed,0,0
1692033,100007,-3,24,15,Active,0,0
1922253,100908,-12,24,11,Active,0,0
1027351,100395,-9,6,4,Active,0,0
1326955,101019,-20,24,18,Active,0,0
2716843,100647,-6,12,3,Active,0,0
2444845,100090,-4,60,57,Active,0,0
1772941,101078,-9,18,12,Active,0,0
1378354,100642,-1,60,30,Active,0,0
2568379,100727,-19,12,10,Active,0,0
2262877,100435,-74,16,13,Active,0,0
1062042,100191,-10,30,26,Active,0,0
1982422,100591,-6,24,16,Active,0,0
1024836,100302,-11,24,21,Active,0,0
2679109,100887,-39,6,0,Completed,0,0
1368766,101078,-39,12,2,Active,0,0
1188836,100723,-2,36,21,Active,0,0
2199957,100613,-5,6,1,Active,0,0
1188836,100723,-15,36,34,Active,0,0
1770512,100497,-12,10,8,Active,0,0
2730549,100455,-12,12,8,Active,0,0
1153796,101001,-15,10,8,Active,0,0
1711086,100169,-6,48,39,Active,0,0
1975785,100753,-18,6,5,Active,0,0
1164942,100377,-8,6,2,Active,0,0
2566708,100813,-11,48,36,Active,0,0
2490567,100687,-7,11,0,Completed,0,0
2648873,100325,-13,24,15,Active,0,0
1223113,100046,-11,18,12,Active,0,0
1172582,100825,-9,12,8,Active,0,0
1585136,100697,-6,60,53,Active,0,0
1370001,100317,-13,12,2,Active,0,0
1194857,100061,-14,30,21,Active,0,0
2681534,100651,-12,12,5,Active,0,0
2409142,100539,-5,24,4,Active,0,0
1058336,100339,-10,24,18,Active,0,0
1110212,100098,-9,18,6,Active,0,0
1922253,100908,-13,24,12,Active,0,0
1906048,101139,-7,12,0,Completed,0,0
2099976,100660,-10,24,23,Active,0,0
1126945,100604,-16,24,20,Active,0,0
2214878,100524,-61,12,12,Active,0,0
1017235,100603,-93,6,5,Active,0,0
1821665,101057,-17,12,9,Active,0,0
1751633,100106,-5,18,9,Active,0,0
1009688,100125,-16,24,11,Active,0,0
2154353,100812,-3,12,2,Active,0,0
2803085,100540,-3,18,7,Active,0,0
1085508,100362,-20,36,5,Active,0,0
1734081,100589,-23,24,17,Active,0,0
2149224,100539,-40,12,5,Active,0,0
2574960,100913,-48,36,30,Active,0,0
1646735,100685,-38,18,18,Active,0,0
2127220,100967,-48,12,10,Active,0,0
1085508,100362,-42,36,27,Active,0,0
1771190,100292,-53,23,7,Active,0,0
1437162,100299,-41,12,0,Completed,0,0
2505263,100950,-47,12,12,Signed,0,0
1287918,100424,-19,24,19,Active,0,0
1368766,101078,-38,12,1,Active,0,0
2820454,100383,-40,24,9,Active,0,0
1915520,101024,-47,9,1,Active,0,0
1086553,101090,-47,24,24,Active,0,0
2820454,100383,-33,24,2,Active,0,0
1212261,100053,-2,12,3,Active,0,0
1438743,100238,-76,9,5,Active,0,0
1335339,101046,-39,8,6,Active,0,0
2426087,100754,-11,60,59,Active,0,0
2128035,100569,-12,12,5,Active,0,0
1536641,100466,-11,30,18,Active,0,0
1949052,100577,-3,18,8,Active,0,0
2173839,100585,-20,48,31,Active,0,0
1367556,100685,-23,30,30,Active,0,0
1239484,100509,-2,8,0,Completed,0,0
2181223,100818,-15,12,11,Active,0,0
1165678,100618,-12,30,15,Active,0,0
2178516,100123,-8,24,0,Completed,0,0
1642058,100800,-5,18,12,Active,0,0
1642058,100800,-11,18,18,Active,0,0
1923164,100402,-8,6,5,Active,0,0
2671884,100099,-21,12,7,Active,0,0
1205384,100851,-10,6,4,Active,0,0
1779586,100611,-79,9,7,Active,0,0
1398813,100579,-64,6,2,Active,0,0
2714337,101110,-59,8,7,Active,0,0
1959202,100414,-9,12,9,Active,0,0
1819675,101088,-22,24,16,Active,0,0
1852094,100466,-17,36,18,Active,0,0
2479932,100136,-9,24,8,Active,0,0
1290739,100370,-16,12,0,Completed,0,0
1929585,100450,-17,36,34,Active,0,0
1603086,100499,-1,12,8,Active,0,0
1896659,100869,-64,5,5,Active,0,0
1231722,100083,-5,24,2,Active,0,0
1082231,100217,-56,12,12,Active,0,0
2087478,100409,-39,8,3,Active,0,0
2310594,101009,-12,4,1,Active,0,0
2453834,101037,-9,36,32,Active,0,0
1374844,101093,-12,60,44,Active,0,0
1191663,100060,-11,36,32,Active,0,0
2505229,100746,-74,24,17,Active,28,0
1080512,100933,-86,8,6,Active,0,0
1223113,100046,-10,18,11,Active,0,0
1578801,100865,-8,6,1,Active,0,0
2830634,100684,-12,36,35,Active,0,0
1194857,100061,-7,30,14,Active,0,0
1518189,100745,-26,12,2,Active,0,0
1620394,100270,-35,6,4,Active,0,0
2597620,100734,-64,10,7,Active,0,0
2221470,100351,-19,4,0,Completed,0,0
1673266,101026,-19,24,18,Active,0,0
2481448,101017,-4,48,36,Active,0,0
2705391,101032,-62,18,15,Active,0,0
1257528,100473,-17,18,10,Active,0,0
1186081,100370,-9,12,1,Active,0,0
1535952,100589,-63,10,8,Active,0,0
2622301,100297,-15,12,10,Active,0,0
2432123,101138,-89,10,9,Active,0,0
1921239,100775,-15,30,23,Active,0,0
2696580,100347,-86,10,9,Active,0,0
2632444,100161,-10,6,6,Active,0,0
1043042,100859,-1,24,10,Active,0,0
1223113,100046,-4,18,5,Active,0,0
1465407,100773,-77,10,3,Active,0,0
1676876,100502,-21,24,20,Active,0,0
1172582,100825,-8,12,7,Active,0,0
1058336,100339,-3,24,11,Active,0,0
2648873,100325,-12,24,14,Active,0,0
1030698,101092,-41,12,12,Active,0,0
1172582,100825,-2,12,1,Active,0,0
1367556,100685,-9,30,16,Active,0,0
2480304,100012,-12,18,13,Active,0,0
2408142,100080,-3,42,32,Active,0,0
2408142,100080,-9,42,38,Active,0,0
1698177,100535,-24,24,4,Active,0,0
2369733,100919,-19,19,3,Active,0,0
2661304,101116,-76,12,9,Active,0,0
2707311,101137,-9,12,12,Active,0,0
2372510,101141,-10,24,18,Active,0,0
