SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1369693,100001,Consumer loans,3951,24835.5,23787,2520,24835.5,FRIDAY,13,Y,1,0.10432619,XAP,Approved,-1740,Cash through the bank,XAP,Family,Refreshed,Mobile,POS,XNA,Country-wide,23,Connectivity,8,high,POS mobile with interest,365243,-1709,-1499,-1619,-1612,0
1038818,100002,Consumer loans,9251.775,179055,179055,0,179055,SATURDAY,9,Y,1,0,XAP,Approved,-606,XNA,XAP,Family,New,Vehicles,POS,XNA,Stone,500,Auto technology,24,low_normal,POS other with interest,365243,-565,125,-25,-17,0
1810518,100003,Cash loans,98356.995,900000,1035882,0,900000,FRIDAY,12,Y,1,0,XNA,Approved,-746,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12,low_normal,Cash X-Sell: low,365243,-716,-386,-536,-527,1
2636178,100003,Consumer loans,64567.665,337500,348637.5,0,337500,SUNDAY,17,Y,1,0,XAP,Approved,-828,Cash through the bank,XAP,Family,Refreshed,Furniture,POS,XNA,Stone,1400,Furniture,6,middle,POS industry with interest,365243,-797,-647,-647,-639,0
1564014,100004,Consumer loans,5357.25,24282,20106,4860,24282,FRIDAY,5,Y,1,0.212007603,XAP,Approved,-815,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Regional / Local,30,Connectivity,4,middle,POS mobile without interest,365243,-784,-694,-724,-714,0
2078043,100006,Cash loans,24246,675000,675000,4860,675000,THURSDAY,15,Y,1,0.212007603,XNA,Approved,-181,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48,low_normal,Cash X-Sell: low,365243,-151,1259,-151,-143,0
2827850,100006,Revolving loans,24246,0,0,4860,675000,THURSDAY,15,Y,1,0.212007603,XAP,Canceled,-181,XNA,XAP,Unaccompanied,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,48,XNA,Card Street,365243,-151,1259,-151,-143,0
2190416,100006,Consumer loans,29027.52,334917,267930,66987,334917,SUNDAY,15,Y,1,0.217829888,XAP,Approved,-311,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,8025,Consumer electronics,12,high,POS household with interest,365243,-281,49,365243,365243,0
1489396,100006,Revolving loans,13500,270000,270000,66987,270000,THURSDAY,15,Y,1,0.217829888,XAP,Approved,-181,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0,XNA,Card X-Sell,365243,365243,365243,365243,365243,0
2001242,100007,Cash loans,16509.6,180000,180000,66987,180000,SUNDAY,14,Y,1,0.217829888,XNA,Approved,-865,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,walk-in,Regional / Local,1200,Consumer electronics,18,high,Cash Street: high,365243,-834,-324,-354,-347,0
2730157,100007,Cash loans,13010.985,225000,284400,66987,225000,FRIDAY,13,Y,1,0.217829888,XNA,Approved,-867,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),4,XNA,48,middle,Cash X-Sell: middle,365243,-834,-324,-354,-347,0
1692033,100007,Cash loans,16037.64,247500,274288.5,66987,247500,MONDAY,11,Y,1,0.217829888,XNA,Approved,-374,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24,middle,Cash X-Sell: middle,365243,-344,346,365243,365243,1
